epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3022,1.47922,4.5141,1.42915,0.0007,0.06667,0.00041,0.0001,0.97674,4.30859,1.09223,6.666e-05,6.666e-05,6.666e-05
2,45.1906,1.2635,3.25909,1.23169,0.00904,0.59167,0.01384,0.00297,0.89169,4.10342,1.07232,0.00014157,0.00014157,0.00014157
3,67.0849,1.14634,2.09407,1.27194,0.02244,1,0.3064,0.10268,0.87989,4.16795,1.02756,0.000213401,0.000213401,0.000213401
4,88.684,1.13674,1.82458,1.20929,0.01511,1,0.61803,0.26589,0.91336,4.13755,1.04804,0.000282152,0.000282152,0.000282152
5,110.219,1.09574,1.50832,1.18432,0.00905,0.75,0.53909,0.24055,0.96243,4.1772,1.07339,0.000347823,0.000347823,0.000347823
6,131.764,1.11713,1.71929,1.29876,0.01295,0.91667,0.43907,0.11011,0.9031,4.03147,1.04854,0.000410415,0.000410415,0.000410415
7,153.427,1.1485,1.49925,1.27323,0.00659,0.58333,0.33111,0.21799,0.91732,4.01747,1.08705,0.000469926,0.000469926,0.000469926
8,175.041,1.0951,1.37326,1.22159,0.0089,0.66667,0.58289,0.38771,0.88394,3.86222,1.113,0.000526358,0.000526358,0.000526358
9,196.615,1.09565,1.32875,1.24263,0.01725,0.95833,0.81278,0.43278,0.93182,3.7134,1.14338,0.000579711,0.000579711,0.000579711
10,218.261,1.0965,1.3008,1.18996,0.01534,0.875,0.79973,0.42988,0.92263,3.53756,1.13313,0.000629984,0.000629984,0.000629984
11,239.922,1.07652,1.25566,1.18181,0.01751,1,0.96308,0.67491,1.03931,3.23347,1.25236,0.000677177,0.000677177,0.000677177
12,261.62,1.05493,1.2641,1.16804,1,0.4791,0.995,0.69072,1.0762,2.73807,1.32076,0.00072129,0.00072129,0.00072129
13,283.2,1.13989,1.13989,1.19647,1,0.4476,0.995,0.73426,1.00862,2.66844,1.27056,0.000762324,0.000762324,0.000762324
14,304.708,1.1124,1.23375,1.24535,0.99954,0.5,0.995,0.70778,1.02031,2.59907,1.28026,0.000800278,0.000800278,0.000800278
15,326.156,1.06771,1.10008,1.17662,0.97819,0.85774,0.995,0.70055,1.08296,2.11695,1.33142,0.000803031,0.000803031,0.000803031
16,347.938,1.08019,1.15633,1.19938,0.96229,1,0.995,0.72449,0.98966,1.99839,1.2154,0.000781033,0.000781033,0.000781033
17,369.457,1.00559,1.09202,1.1655,0.95861,1,0.995,0.72384,1.03975,1.65357,1.24637,0.000759035,0.000759035,0.000759035
18,390.99,1.04173,1.11447,1.18169,0.97424,1,0.995,0.65427,1.23537,1.69995,1.37379,0.000737037,0.000737037,0.000737037
19,412.673,1.04226,1.03384,1.19308,0.98879,0.99948,0.995,0.71616,1.142,1.61672,1.35195,0.00071504,0.00071504,0.00071504
20,434.578,1.01117,1.09573,1.16975,0.97952,1,0.995,0.66415,1.22138,1.43254,1.44431,0.000693042,0.000693042,0.000693042
21,456.518,0.97451,1.03009,1.1613,0.98211,1,0.995,0.66289,1.16898,1.3853,1.39472,0.000671044,0.000671044,0.000671044
22,478.498,1.04411,0.98556,1.14713,0.96649,1,0.995,0.69282,1.06335,1.35063,1.28102,0.000649046,0.000649046,0.000649046
23,500.437,1.01044,0.99109,1.1765,0.98664,1,0.995,0.68417,1.11341,1.14314,1.28747,0.000627048,0.000627048,0.000627048
24,522.287,1.00718,0.98905,1.15932,0.97591,1,0.995,0.72285,0.99052,1.13743,1.22678,0.000605051,0.000605051,0.000605051
25,544.16,1.04031,1.00983,1.18613,0.97819,1,0.995,0.7062,1.00003,1.07637,1.23985,0.000583053,0.000583053,0.000583053
26,566.013,1.02463,0.96879,1.21304,0.98907,1,0.995,0.71063,1.04487,1.1087,1.25236,0.000561055,0.000561055,0.000561055
27,587.775,0.98235,0.95694,1.11383,0.9907,1,0.995,0.7107,0.99497,1.00204,1.21196,0.000539057,0.000539057,0.000539057
28,609.583,0.98215,0.94624,1.14267,0.9878,1,0.995,0.72668,0.95776,1.07962,1.2064,0.000517059,0.000517059,0.000517059
29,631.072,1.00943,0.90324,1.12693,0.98888,1,0.995,0.73084,0.96294,1.09479,1.21065,0.000495062,0.000495062,0.000495062
30,652.609,0.97055,0.90748,1.12885,0.99448,1,0.995,0.71284,0.99005,0.98983,1.21784,0.000473064,0.000473064,0.000473064
31,674.177,0.97807,0.88006,1.14238,0.98578,1,0.995,0.6892,1.0727,0.97062,1.28932,0.000451066,0.000451066,0.000451066
32,695.833,0.93579,0.90535,1.12305,0.99088,1,0.995,0.72235,0.98864,0.90496,1.24478,0.000429068,0.000429068,0.000429068
33,717.236,0.97378,0.87739,1.1195,0.98972,1,0.995,0.72413,0.96916,0.89824,1.22672,0.00040707,0.00040707,0.00040707
34,738.731,0.98671,0.87375,1.09679,0.99381,1,0.995,0.73856,0.96386,0.88755,1.21547,0.000385073,0.000385073,0.000385073
35,759.962,0.97164,0.84841,1.11182,0.99386,1,0.995,0.72271,1.02166,0.86633,1.25601,0.000363075,0.000363075,0.000363075
36,781.583,0.95754,0.85293,1.16689,0.99149,1,0.995,0.71488,1.0332,0.88694,1.24744,0.000341077,0.000341077,0.000341077
37,802.979,1.01863,0.94666,1.15925,0.98997,1,0.995,0.73031,1.03516,0.9068,1.23785,0.000319079,0.000319079,0.000319079
38,824.519,0.93408,0.85271,1.08724,0.99278,1,0.995,0.74324,1.03945,0.89401,1.24511,0.000297081,0.000297081,0.000297081
39,845.872,0.91421,0.79602,1.09956,0.99607,1,0.995,0.74304,1.0348,0.88451,1.25298,0.000275084,0.000275084,0.000275084
40,866.996,0.94376,0.83341,1.15882,0.99593,1,0.995,0.75062,0.99128,0.88136,1.23059,0.000253086,0.000253086,0.000253086
41,887.863,0.90746,1.09767,1.1663,0.99468,1,0.995,0.73861,0.97989,0.8844,1.22067,0.000231088,0.000231088,0.000231088
42,908.754,0.89364,1.08127,1.15891,0.99175,1,0.995,0.7505,0.95499,0.87111,1.20506,0.00020909,0.00020909,0.00020909
43,929.653,0.88719,1.05489,1.18015,0.99315,1,0.995,0.75673,0.95775,0.85186,1.21123,0.000187092,0.000187092,0.000187092
44,950.715,0.86419,1.03,1.17348,0.99384,1,0.995,0.76645,0.96105,0.84019,1.21871,0.000165095,0.000165095,0.000165095
45,971.709,0.8532,1.01493,1.11894,0.99372,1,0.995,0.77243,0.96262,0.8401,1.22323,0.000143097,0.000143097,0.000143097
46,992.904,0.86408,1.00624,1.12249,0.99641,1,0.995,0.75957,0.96714,0.83859,1.23353,0.000121099,0.000121099,0.000121099
47,1014.18,0.86383,1.01177,1.16611,0.99551,1,0.995,0.75793,0.95538,0.83039,1.22518,9.91012e-05,9.91012e-05,9.91012e-05
48,1035.56,0.84638,0.98933,1.16211,0.99601,1,0.995,0.75971,0.94541,0.81118,1.21876,7.71034e-05,7.71034e-05,7.71034e-05
49,1056.8,0.86319,0.97738,1.13158,0.99523,1,0.995,0.75367,0.94632,0.80825,1.21658,5.51056e-05,5.51056e-05,5.51056e-05
50,1078.03,0.85244,0.97265,1.1497,0.99436,1,0.995,0.75245,0.94936,0.79961,1.21315,3.31078e-05,3.31078e-05,3.31078e-05
1,46.8342,0.9977,3.7344,1.15248,0.00752,0.41905,0.13467,0.11723,1.07825,4.08749,1.15031,0.00013332,0.00013332,0.00013332
2,91.2333,0.94443,2.20653,1.103,0.01824,1,0.4762,0.3446,1.20816,3.71094,1.07906,0.000272251,0.000272251,0.000272251
3,135.713,0.88357,1.77193,1.02373,0.01592,0.98571,0.53641,0.32533,0.90885,4.06457,1.09715,0.000405462,0.000405462,0.000405462
4,180.327,0.91959,1.63822,1.03367,0.42433,0.19008,0.53215,0.30142,1.26901,3.67372,1.14229,0.000532953,0.000532953,0.000532953
5,224.794,0.98105,1.67166,1.11903,0.3948,0.55574,0.49027,0.3222,1.24633,3.71787,1.17226,0.000654726,0.000654726,0.000654726
6,269.065,0.97373,1.58482,1.098,0.6995,0.15763,0.86303,0.60765,1.00401,3.03313,0.99217,0.000770778,0.000770778,0.000770778
7,314.16,0.99203,1.5241,1.06637,0.58813,0.6693,0.74246,0.52679,1.01442,2.53167,1.0127,0.000881112,0.000881112,0.000881112
8,358.463,0.88064,1.50865,1.04453,0.79143,0.95075,0.83258,0.58682,1.0301,2.07581,1.05327,0.000957015,0.000957015,0.000957015
9,403.303,0.91072,1.37467,1.0402,0.69511,1,0.84628,0.61422,0.95849,1.3802,1.00725,0.000935018,0.000935018,0.000935018
10,447.978,0.93436,1.42254,1.0499,0.89185,0.90547,0.95347,0.67369,1.00092,1.37503,1.01799,0.00091302,0.00091302,0.00091302
11,492.818,0.93341,1.38856,1.05501,0.7939,0.96667,0.92505,0.65019,0.94483,1.31118,0.98425,0.000891022,0.000891022,0.000891022
12,537.358,0.90546,1.35971,1.04147,0.79094,0.96667,0.95362,0.65711,0.80225,1.1691,0.95626,0.000869024,0.000869024,0.000869024
13,581.728,0.91808,1.3382,1.05934,0.98152,0.79218,0.96493,0.7173,0.78752,1.15902,0.96482,0.000847026,0.000847026,0.000847026
14,626.147,0.86457,1.23328,1.02836,0.99223,0.79143,0.95986,0.70409,0.84516,1.10694,0.98262,0.000825029,0.000825029,0.000825029
15,670.985,0.86305,1.23772,1.03755,0.89871,0.90694,0.96418,0.68238,0.86403,1.07231,1.00096,0.000803031,0.000803031,0.000803031
16,715.277,0.87009,1.22113,1.04538,1,0.80532,0.96582,0.71484,0.80671,1.09205,1.00267,0.000781033,0.000781033,0.000781033
17,759.608,0.85162,1.16403,1.04381,0.79375,0.96667,0.97538,0.67985,1.12815,1.05657,1.17173,0.000759035,0.000759035,0.000759035
18,803.879,0.88452,1.10747,1.04964,1,0.80009,0.97676,0.72302,0.87617,0.9711,1.02073,0.000737037,0.000737037,0.000737037
19,848.363,0.89678,1.15481,1.04268,1,0.80429,0.97125,0.70801,0.92686,1.03327,1.04044,0.00071504,0.00071504,0.00071504
20,892.476,0.86702,1.15396,1.01565,0.88419,0.89524,0.94737,0.67765,0.93521,1.00745,1.05313,0.000693042,0.000693042,0.000693042
21,936.558,0.82177,1.09654,0.98874,0.79466,0.96667,0.97697,0.72578,0.89561,0.9054,1.00389,0.000671044,0.000671044,0.000671044
22,980.682,0.83821,1.08285,1.00006,1,0.79749,0.97609,0.73335,0.86666,0.88986,1.00281,0.000649046,0.000649046,0.000649046
23,1025.03,0.86529,1.07149,1.02933,0.99599,0.79045,0.97293,0.71297,0.829,0.87639,0.96891,0.000627048,0.000627048,0.000627048
24,1069.33,0.8484,1.04144,0.99656,0.79268,0.96667,0.97546,0.73269,0.79419,0.88507,0.96846,0.000605051,0.000605051,0.000605051
25,1113.52,0.84344,1.0168,1.0256,1,0.79215,0.96991,0.725,0.89532,0.8879,1.00158,0.000583053,0.000583053,0.000583053
26,1157.69,0.81446,1.01066,1.00423,1,0.79482,0.97062,0.73912,0.9448,0.89183,1.0256,0.000561055,0.000561055,0.000561055
27,1201.95,0.82569,1.00324,1.0107,1,0.79319,0.97366,0.74497,0.92144,0.85427,1.02795,0.000539057,0.000539057,0.000539057
28,1246.74,0.82107,0.93637,0.99346,1,0.7983,0.97492,0.74621,0.83673,0.85075,0.98582,0.000517059,0.000517059,0.000517059
29,1290.94,0.81586,0.91962,1.00456,0.99623,0.78965,0.97189,0.73622,0.84871,0.83811,0.98312,0.000495062,0.000495062,0.000495062
30,1334.82,0.80544,0.93023,0.98626,1,0.79635,0.97132,0.73139,0.82224,0.83222,0.97041,0.000473064,0.000473064,0.000473064
31,1378.86,0.85418,0.92443,1.00501,0.79399,0.96667,0.96387,0.72002,0.81822,0.80502,0.95435,0.000451066,0.000451066,0.000451066
32,1423.07,0.7881,0.93625,0.9784,0.83366,0.96667,0.96734,0.74885,0.7828,0.77477,0.9527,0.000429068,0.000429068,0.000429068
33,1467.49,0.83353,0.94293,1.03057,0.84436,0.96667,0.9719,0.7471,0.89445,0.83183,1.01031,0.00040707,0.00040707,0.00040707
34,1511.68,0.81263,0.92399,0.98975,0.84318,0.96667,0.96869,0.75111,0.84728,0.77862,0.99154,0.000385073,0.000385073,0.000385073
35,1555.93,0.77363,0.94132,0.99297,0.94045,0.89524,0.96642,0.76093,0.74762,0.75387,0.95132,0.000363075,0.000363075,0.000363075
36,1600.26,0.78666,0.91586,0.98519,0.94463,0.90275,0.96949,0.74283,0.82541,0.75361,0.97303,0.000341077,0.000341077,0.000341077
37,1644.51,0.75388,0.89104,0.96977,0.95021,0.90782,0.97099,0.74168,0.82251,0.73625,0.98271,0.000319079,0.000319079,0.000319079
38,1688.72,0.77527,0.86304,0.99918,0.83886,0.96667,0.97069,0.75272,0.80095,0.74292,0.98032,0.000297081,0.000297081,0.000297081
39,1733.02,0.80993,0.84608,1.02069,0.84061,0.96667,0.97324,0.74795,0.80827,0.75847,0.97513,0.000275084,0.000275084,0.000275084
40,1777.31,0.79695,0.84064,1.00219,0.97964,0.83449,0.97392,0.73409,0.83426,0.75361,0.98516,0.000253086,0.000253086,0.000253086
41,1821.13,0.76044,0.94414,0.99085,1,0.80433,0.98063,0.75863,0.84667,0.7995,0.99737,0.000231088,0.000231088,0.000231088
42,1872.97,0.76413,0.95388,0.99481,1,0.79986,0.97959,0.75874,0.85132,0.78926,1.0037,0.00020909,0.00020909,0.00020909
43,1925.76,0.77387,0.93438,0.98907,1,0.80837,0.98035,0.7519,0.851,0.74222,1.00524,0.000187092,0.000187092,0.000187092
44,1979.09,0.75601,0.90504,0.97354,1,0.80177,0.97802,0.75853,0.89073,0.7475,1.03906,0.000165095,0.000165095,0.000165095
45,2032.97,0.75547,0.88585,0.98034,0.97932,0.84147,0.97999,0.75344,0.86597,0.73005,1.01425,0.000143097,0.000143097,0.000143097
46,2086.8,0.75154,0.88227,0.98634,0.9379,0.86108,0.97619,0.75733,0.81633,0.72976,0.98239,0.000121099,0.000121099,0.000121099
47,2141.02,0.74045,0.8582,0.97612,0.93842,0.86851,0.97865,0.76717,0.80458,0.71965,0.97946,9.91012e-05,9.91012e-05,9.91012e-05
48,2194.82,0.72198,0.8332,0.96135,0.87055,0.97631,0.97971,0.7776,0.7999,0.70398,0.97931,7.71034e-05,7.71034e-05,7.71034e-05
49,2248.27,0.71858,0.83102,0.97045,0.87409,0.97604,0.97806,0.77185,0.8095,0.68905,0.9853,5.51056e-05,5.51056e-05,5.51056e-05
50,2301.81,0.7245,0.85821,0.972,0.86472,0.96667,0.978,0.77464,0.81531,0.6885,0.98769,3.31078e-05,3.31078e-05,3.31078e-05
1,59.7754,0.9977,3.7344,1.15248,0.00752,0.41905,0.13467,0.11723,1.07825,4.08749,1.15031,0.00013332,0.00013332,0.00013332
2,113.566,0.94443,2.20653,1.103,0.01824,1,0.4762,0.3446,1.20816,3.71094,1.07906,0.000272251,0.000272251,0.000272251
3,167.098,0.88357,1.77193,1.02373,0.01592,0.98571,0.53641,0.32533,0.90885,4.06457,1.09715,0.000405462,0.000405462,0.000405462
4,220.667,0.91959,1.63822,1.03367,0.42433,0.19008,0.53215,0.30142,1.26901,3.67372,1.14229,0.000532953,0.000532953,0.000532953
5,275.008,0.98105,1.67166,1.11903,0.3948,0.55574,0.49027,0.3222,1.24633,3.71787,1.17226,0.000654726,0.000654726,0.000654726
6,329.245,0.97373,1.58482,1.098,0.6995,0.15763,0.86303,0.60765,1.00401,3.03313,0.99217,0.000770778,0.000770778,0.000770778
7,384.527,0.99203,1.5241,1.06637,0.58813,0.6693,0.74246,0.52679,1.01442,2.53167,1.0127,0.000881112,0.000881112,0.000881112
8,439.691,0.88064,1.50865,1.04453,0.79143,0.95075,0.83258,0.58682,1.0301,2.07581,1.05327,0.000957015,0.000957015,0.000957015
9,494.298,0.91072,1.37467,1.0402,0.69511,1,0.84628,0.61422,0.95849,1.3802,1.00725,0.000935018,0.000935018,0.000935018
10,549.479,0.93436,1.42254,1.0499,0.89185,0.90547,0.95347,0.67369,1.00092,1.37503,1.01799,0.00091302,0.00091302,0.00091302
11,604.561,0.93341,1.38856,1.05501,0.7939,0.96667,0.92505,0.65019,0.94483,1.31118,0.98425,0.000891022,0.000891022,0.000891022
12,659.358,0.90546,1.35971,1.04147,0.79094,0.96667,0.95362,0.65711,0.80225,1.1691,0.95626,0.000869024,0.000869024,0.000869024
13,714.866,0.91808,1.3382,1.05934,0.98152,0.79218,0.96493,0.7173,0.78752,1.15902,0.96482,0.000847026,0.000847026,0.000847026
14,770.804,0.86457,1.23328,1.02836,0.99223,0.79143,0.95986,0.70409,0.84516,1.10694,0.98262,0.000825029,0.000825029,0.000825029
15,826.336,0.86305,1.23772,1.03755,0.89871,0.90694,0.96418,0.68238,0.86403,1.07231,1.00096,0.000803031,0.000803031,0.000803031
16,881.777,0.87009,1.22113,1.04538,1,0.80532,0.96582,0.71484,0.80671,1.09205,1.00267,0.000781033,0.000781033,0.000781033
17,937.546,0.85162,1.16403,1.04381,0.79375,0.96667,0.97538,0.67985,1.12815,1.05657,1.17173,0.000759035,0.000759035,0.000759035
18,992.729,0.88452,1.10747,1.04964,1,0.80009,0.97676,0.72302,0.87617,0.9711,1.02073,0.000737037,0.000737037,0.000737037
19,1047.8,0.89678,1.15481,1.04268,1,0.80429,0.97125,0.70801,0.92686,1.03327,1.04044,0.00071504,0.00071504,0.00071504
20,1102.82,0.86702,1.15396,1.01565,0.88419,0.89524,0.94737,0.67765,0.93521,1.00745,1.05313,0.000693042,0.000693042,0.000693042
21,1157.72,0.82177,1.09654,0.98874,0.79466,0.96667,0.97697,0.72578,0.89561,0.9054,1.00389,0.000671044,0.000671044,0.000671044
22,1212.39,0.83821,1.08285,1.00006,1,0.79749,0.97609,0.73335,0.86666,0.88986,1.00281,0.000649046,0.000649046,0.000649046
23,1267.6,0.86529,1.07149,1.02933,0.99599,0.79045,0.97293,0.71297,0.829,0.87639,0.96891,0.000627048,0.000627048,0.000627048
24,1322.96,0.8484,1.04144,0.99656,0.79268,0.96667,0.97546,0.73269,0.79419,0.88507,0.96846,0.000605051,0.000605051,0.000605051
25,1377.95,0.84344,1.0168,1.0256,1,0.79215,0.96991,0.725,0.89532,0.8879,1.00158,0.000583053,0.000583053,0.000583053
26,1433.16,0.81446,1.01066,1.00423,1,0.79482,0.97062,0.73912,0.9448,0.89183,1.0256,0.000561055,0.000561055,0.000561055
27,1488.73,0.82569,1.00324,1.0107,1,0.79319,0.97366,0.74497,0.92144,0.85427,1.02795,0.000539057,0.000539057,0.000539057
28,1544.35,0.82107,0.93637,0.99346,1,0.7983,0.97492,0.74621,0.83673,0.85075,0.98582,0.000517059,0.000517059,0.000517059
29,1599.19,0.81586,0.91962,1.00456,0.99623,0.78965,0.97189,0.73622,0.84871,0.83811,0.98312,0.000495062,0.000495062,0.000495062
30,1654.32,0.80544,0.93023,0.98626,1,0.79635,0.97132,0.73139,0.82224,0.83222,0.97041,0.000473064,0.000473064,0.000473064
31,1710.25,0.85418,0.92443,1.00501,0.79399,0.96667,0.96387,0.72002,0.81822,0.80502,0.95435,0.000451066,0.000451066,0.000451066
32,1765.14,0.7881,0.93625,0.9784,0.83366,0.96667,0.96734,0.74885,0.7828,0.77477,0.9527,0.000429068,0.000429068,0.000429068
33,1819.64,0.83353,0.94293,1.03057,0.84436,0.96667,0.9719,0.7471,0.89445,0.83183,1.01031,0.00040707,0.00040707,0.00040707
34,1874.17,0.81263,0.92399,0.98975,0.84318,0.96667,0.96869,0.75111,0.84728,0.77862,0.99154,0.000385073,0.000385073,0.000385073
35,1928.91,0.77363,0.94132,0.99297,0.94045,0.89524,0.96642,0.76093,0.74762,0.75387,0.95132,0.000363075,0.000363075,0.000363075
36,1983.98,0.78666,0.91586,0.98519,0.94463,0.90275,0.96949,0.74283,0.82541,0.75361,0.97303,0.000341077,0.000341077,0.000341077
37,2038.95,0.75388,0.89104,0.96977,0.95021,0.90782,0.97099,0.74168,0.82251,0.73625,0.98271,0.000319079,0.000319079,0.000319079
38,2093.71,0.77527,0.86304,0.99918,0.83886,0.96667,0.97069,0.75272,0.80095,0.74292,0.98032,0.000297081,0.000297081,0.000297081
39,2148.05,0.80993,0.84608,1.02069,0.84061,0.96667,0.97324,0.74795,0.80827,0.75847,0.97513,0.000275084,0.000275084,0.000275084
40,2202.2,0.79695,0.84064,1.00219,0.97964,0.83449,0.97392,0.73409,0.83426,0.75361,0.98516,0.000253086,0.000253086,0.000253086
41,2256.09,0.76044,0.94414,0.99085,1,0.80433,0.98063,0.75863,0.84667,0.7995,0.99737,0.000231088,0.000231088,0.000231088
42,2310.06,0.76413,0.95388,0.99481,1,0.79986,0.97959,0.75874,0.85132,0.78926,1.0037,0.00020909,0.00020909,0.00020909
43,2363.68,0.77387,0.93438,0.98907,1,0.80837,0.98035,0.7519,0.851,0.74222,1.00524,0.000187092,0.000187092,0.000187092
44,2417.61,0.75601,0.90504,0.97354,1,0.80177,0.97802,0.75853,0.89073,0.7475,1.03906,0.000165095,0.000165095,0.000165095
45,2471.94,0.75547,0.88585,0.98034,0.97932,0.84147,0.97999,0.75344,0.86597,0.73005,1.01425,0.000143097,0.000143097,0.000143097
46,2526.33,0.75154,0.88227,0.98634,0.9379,0.86108,0.97619,0.75733,0.81633,0.72976,0.98239,0.000121099,0.000121099,0.000121099
47,2580.98,0.74045,0.8582,0.97612,0.93842,0.86851,0.97865,0.76717,0.80458,0.71965,0.97946,9.91012e-05,9.91012e-05,9.91012e-05
48,2634.53,0.72198,0.8332,0.96135,0.87055,0.97631,0.97971,0.7776,0.7999,0.70398,0.97931,7.71034e-05,7.71034e-05,7.71034e-05
49,2689.58,0.71858,0.83102,0.97045,0.87409,0.97604,0.97806,0.77185,0.8095,0.68905,0.9853,5.51056e-05,5.51056e-05,5.51056e-05
50,2743.58,0.7245,0.85821,0.972,0.86472,0.96667,0.978,0.77464,0.81531,0.6885,0.98769,3.31078e-05,3.31078e-05,3.31078e-05
